radius,n_clusters,n_outliers,NMI,AMI,pureté,modèle
0.15,111,0,0.3693764817300499,0.13702926265290785,0.5362318840579711,DirVAE
0.3,65,0,0.30992744785638093,0.1431672139108614,0.47342995169082125,DirVAE
0.5,44,0,0.28281046759857814,0.15374815180966442,0.4444444444444444,DirVAE
0.8,24,0,0.296366387734509,0.22108155676412633,0.4444444444444444,DirVAE
1.2,1,0,,,,DirVAE
2.0,1,0,,,,DirVAE
0.15,127,0,0.4005917419689814,0.15900774361680994,0.572463768115942,GVAE
0.3,90,0,0.3835729592488246,0.1945502765839091,0.533816425120773,GVAE
0.5,58,0,0.32941548730823755,0.18518930651815452,0.4830917874396135,GVAE
0.8,29,0,0.28651460881483054,0.19377831118044908,0.4396135265700483,GVAE
1.2,3,0,0.04767542985568256,0.03299208011439629,0.2608695652173913,GVAE
2.0,1,0,,,,GVAE
